namespace	name	group	subclassOf	type	version	previous_version	previous_release	url
bioschemas	LabProtocol	labprotocols	schema:HowTo	Profile	0.6-DRAFT-2020_12_08	0.5-DRAFT-2020_09_01		https://github.com/BioSchemas/specifications/blob/master/LabProtocol/jsonld/LabProtocol_v0.6-DRAFT-2020_12_08.json
bioschemas	Organization	organizations	schema:Organization	Profile	0.2-DRAFT-2019_07_19	0.2-DRAFT-2019_07_17		https://github.com/BioSchemas/specifications/blob/master/Organization/jsonld/Organization_v0.2-DRAFT-2019_07_19.json
bioschemas	Person	people	schema:Person	Profile	0.2-DRAFT-2019_07_19	0.1-DRAFT-2018_03_14		https://github.com/BioSchemas/specifications/blob/master/Person/jsonld/Person_v0.2-DRAFT-2019_07_19.json
bioschemas	Phenotype	phenotypes	schema:Thing	Profile	0.2-DRAFT	0.1-DRAFT-2018_11_15		https://github.com/BioSchemas/specifications/blob/master/Phenotype/jsonld/Phenotype_v0.2-DRAFT.json
bioschemas	PublicationIssue	publications	schema:PublicationIssue	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_02_08		https://github.com/BioSchemas/specifications/blob/master/PublicationIssue/jsonld/PublicationIssue_v0.2-DRAFT-2020_12_03.json
bioschemas	PublicationVolume	publications	schema:PublicationVolume	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_02_15		https://github.com/BioSchemas/specifications/blob/master/PublicationVolume/jsonld/PublicationVolume_v0.2-DRAFT-2020_12_03.json
bioschemas	ScholarlyArticle	publications	schema:ScholarlyArticle	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_03_15		https://github.com/BioSchemas/specifications/blob/master/ScholarlyArticle/jsonld/ScholarlyArticle_v0.2-DRAFT-2020_12_03.json
bioschemas	SemanticTextAnnotation	publications	schema:CreativeWork	Profile	0.2-DRAFT-2020_12_03	0.1-DRAFT-2019_11_19		https://github.com/BioSchemas/specifications/blob/master/SemanticTextAnnotation/jsonld/SemanticTextAnnotation_v0.2-DRAFT-2020_12_03.json
bioschemas	TrainingMaterial	training	schema:LearningResource	Profile	0.9-DRAFT-2020_12_08	0.8-DRAFT-2020_10_06		https://github.com/BioSchemas/specifications/blob/master/TrainingMaterial/jsonld/TrainingMaterial_v0.9-DRAFT-2020_12_08.json
bioschemas	TaxonName	biodiversity	schema:CreativeWork	Profile	0.1-DRAFT			https://github.com/BioSchemas/specifications/blob/master/TaxonName/jsonld/TaxonName_v0.1-DRAFT.json
bioschemas	Study	studies	schema:CreativeWork	Profile	0.2-DRAFT	0.1-DRAFT-2018_11_15		https://github.com/BioSchemas/specifications/blob/master/Study/jsonld/Study_v0.2-DRAFT.json
bioschemas	DNA	dna	schema:BioChemEntity	Type	0.2-DRAFT-2019_06_20			https://github.com/BioSchemas/specifications/blob/master/DNA/jsonld/DNA_0.2-DRAFT-2019_06_20.json
bioschemas	SequenceRange	proteins	schema:BioChemEntity	Profile	0.1-DRAFT			https://github.com/BioSchemas/specifications/blob/master/SequenceRange/jsonld/SequenceRange_v0.1-DRAFT.json
bioschemas	RNA	dna	schema:BioChemEntity	Profile	0.1-DRAFT-2019_11_15			https://github.com/BioSchemas/specifications/blob/master/RNA/jsonld/RNA_v0.1-DRAFT-2019_11_15.json
bioschemas	SequenceAnnotation	proteins	schema:BioChemEntity	Profile	0.7-DRAFT	0.6-DRAFT		https://github.com/BioSchemas/specifications/blob/master/SequenceAnnotation/jsonld/SequenceAnnotation_v0.7-DRAFT.json
bioschemas	Enzyme	proteins	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_20			https://github.com/BioSchemas/specifications/blob/master/Enzyme/jsonld/Enzyme_v0.1-DRAFT-2019_06_20.json
bioschemas	BioChemStructure	chemicals	schema:BioChemEntity	Type	0.1-DRAFT-2019_06_20			https://github.com/BioSchemas/specifications/blob/master/BioChemStructure/jsonld/BioChemStructure_v0.1-DRAFT-2019_06_20.json
bioschemas	SequenceMatchingModel	proteins	schema:CreativeWork	Type	0.1-DRAFT-2019_06_21			https://github.com/BioSchemas/specifications/blob/master/SequenceMatchingModel/jsonld/SequenceMatchingModel_v0.1-DRAFT-2019_06_21.json
